source,table,series,period,value
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1997,0.191
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1997,0.013
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1997,0.547
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1998,2.31
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1998,7.95
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1998,1.08
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1998,0.72
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1998,0.148
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1998,0.183
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1998,0.011
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1998,0.585
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1999,2.38
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1999,7.91
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1999,1.13
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1999,0.15
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1999,0.189
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1999,0.013
